City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto deseado,-47.7503,-65.8938,289.55,35,30,7.8,AR,1699280530
83,illizi,26.4833,8.4667,309.04,7,0,3.78,DZ,1699280532
84,mirny,62.5353,113.9611,260.08,97,100,1.37,RU,1699280533
85,crane,31.3974,-102.3501,290.76,52,61,2.74,US,1699280534
86,bethel,41.3712,-73.414,282.34,62,0,1.54,US,1699280535
87,klyuchi,52.2667,79.1667,271.8,74,95,3.77,RU,1699280536
88,port alfred,-33.5906,26.891,291.58,96,100,1.79,ZA,1699280537
89,flying fish cove,-10.4217,105.6791,298.97,88,75,3.6,CX,1699280538
90,aripuana,-9.1667,-60.6333,309.89,35,21,1.6,BR,1699280539
91,stanley,54.868,-1.6985,283.44,83,40,2.57,GB,1699280540
92,saint-cyr-sur-loire,47.4,0.6667,286.41,72,75,7.72,FR,1699280340
93,aasiaat,68.7098,-52.8699,262.0,85,100,3.62,GL,1699280542
94,jesup,31.6074,-81.8854,292.11,52,0,0.0,US,1699280543
95,colares,38.7992,-9.4469,291.67,56,20,8.05,PT,1699280544
96,nova sintra,14.8667,-24.7167,296.84,75,97,8.36,CV,1699280545
97,sisimiut,66.9395,-53.6735,268.42,76,100,3.39,GL,1699280546
98,gulf shores,30.246,-87.7008,292.62,70,0,2.06,US,1699280548
99,kodiak,57.79,-152.4072,266.88,79,0,2.57,US,1699280549
100,alaghsas,17.0187,8.0168,309.09,7,0,4.12,NE,1699280550
101,kirakira,-10.4544,161.9205,298.97,88,100,2.79,SB,1699280551
102,jamestown,42.097,-79.2353,282.92,79,0,2.57,US,1699280552
103,uturoa,-16.7333,-151.4333,298.93,81,35,5.18,PF,1699280553
104,wynyard,-41.0,145.7167,285.36,89,33,4.83,AU,1699280555
105,olyokminsk,60.3736,120.4264,258.06,96,91,0.69,RU,1699280556
106,new norfolk,-42.7826,147.0587,284.87,98,2,0.86,AU,1699280557
107,papatowai,-46.5619,169.4708,280.19,88,96,1.42,NZ,1699280558
108,cabo san lucas,22.8909,-109.9124,301.35,61,99,0.89,MX,1699280559
109,qaqortoq,60.7167,-46.0333,273.18,55,100,6.02,GL,1699280560
110,kafr az zayyat,30.8248,30.8181,304.81,20,0,4.37,EG,1699280561
111,caleta de carquin,-11.0925,-77.6267,293.13,79,73,3.24,PE,1699280562
112,holualoa,19.6228,-155.9522,295.25,71,0,2.57,US,1699280563
113,tolanaro,-25.0319,46.9987,298.19,69,40,10.8,MG,1699280564
114,praia,14.9215,-23.5087,303.45,58,75,10.29,CV,1699280565
115,porangatu,-13.4408,-49.1486,311.41,29,75,2.43,BR,1699280566
116,sitka,57.0531,-135.33,281.09,87,100,1.54,US,1699280567
117,smithers,54.7804,-127.1743,274.33,100,100,3.09,CA,1699280568
118,mil'kovo,55.6078,37.7956,284.26,94,100,5.7,RU,1699280569
119,sinabang,2.4803,96.3801,299.37,85,100,1.76,ID,1699280570
120,villa de cos,23.2833,-102.35,285.1,57,74,1.49,MX,1699280571
121,kulhudhuffushi,6.6221,73.07,300.78,73,82,1.1,MV,1699280573
122,petropavlovsk-kamchatsky,53.0452,158.6483,268.4,72,75,4.47,RU,1699280434
123,hasaki,35.7333,140.8333,295.37,83,100,13.17,JP,1699280575
124,lompoc,34.6391,-120.4579,289.7,91,100,5.81,US,1699280576
125,lebu,-37.6167,-73.65,287.24,72,100,5.38,CL,1699280578
126,houlton,46.1262,-67.8403,272.99,59,0,4.12,US,1699280579
127,phan thiet,10.9333,108.1,298.86,89,100,3.58,VN,1699280580
128,udachny,66.4167,112.4,254.64,100,82,1.93,RU,1699280581
129,gondal,21.9667,70.8,303.42,23,100,3.92,IN,1699280582
130,port saint john's,-31.6229,29.5448,298.05,76,94,3.18,ZA,1699280583
131,luderitz,-26.6481,15.1594,292.13,64,0,7.27,NA,1699280584
132,magadan,59.5667,150.8,259.53,73,0,3.53,RU,1699280285
133,tura,25.5198,90.2201,292.41,89,0,1.52,IN,1699280586
134,silistra,44.1167,27.2667,293.66,33,0,6.44,BG,1699280537
135,puerto ayacucho,5.6639,-67.6236,300.7,84,99,1.15,VE,1699280588
136,sovetskaya gavan',48.9723,140.2878,271.54,44,100,7.91,RU,1699280589
